class_id	label_name	tax_id
206	Avibacterium avium	751
207	Pasteurella bettyae	752
208	Pasteurella dagmatis	754
209	Avibacterium gallinarum	755
210	Rodentibacter pneumotropicus	758
211	Pasteurella testudinis	761
212	Anaplasma marginale	770
213	Bartonella bacilliformis	774
214	Coxiella burnetii	777
215	Ehrlichia ruminantium	779
216	Rickettsia prowazekii	782
217	Rickettsia rickettsii	783
218	Orientia tsutsugamushi	784
219	Rickettsia typhi	785
220	Bartonella elizabethae	807
221	Chlamydia trachomatis	813
222	Bacteroides fragilis	817
223	Bacteroides thetaiotaomicron	818
224	Bacteroides uniformis	820
225	Bacteroides vulgatus	821
226	Parabacteroides distasonis	823
227	Campylobacter gracilis	824
228	Sebaldella termitidis	826
229	Campylobacter ureolyticus	827
230	Butyrivibrio fibrisolvens	831
231	Fibrobacter succinogenes	833
232	Porphyromonas gingivalis	837
233	Prevotella ruminicola	839
234	Prevotella loescheii	840
235	Wolinella succinogenes	844
236	Oxalobacter formigenes	847
237	Fusobacterium gonidiaformans	849
238	Fusobacterium mortiferum	850
239	Fusobacterium nucleatum	851
240	Fusobacterium perfoetens	852
241	Fusobacterium varium	856
242	Fusobacterium necrophorum	859
243	Fusobacterium periodonticum	860
244	Fusobacterium ulcerans	861
245	Syntrophomonas wolfei	863
246	Ruminobacter amylophilus	867
247	Dichelobacter nodosus	870
248	Desulfovibrio africanus	873
249	Desulfovibrio desulfuricans	876
250	Desulfovibrio vulgaris	881
251	Desulfuromonas acetoxidans	891
252	Desulfococcus multivorans	897
253	Desulfovibrio piger	901
254	Acidaminococcus fermentans	905
255	Megasphaera elsdenii	907
256	Nitrobacter winogradskyi	913
257	Nitrosomonas europaea	915
258	Nitrosomonas eutropha	916
259	Acidithiobacillus ferrooxidans	920
260	Thiomonas intermedia	926
261	Halothiobacillus neapolitanus	927
262	Acidithiobacillus thiooxidans	930
263	Ehrlichia canis	944
264	Anaplasma phagocytophilum	948
265	Bdellovibrio bacteriovorus	959
266	Bacteriovorax stolpii	960
267	Herbaspirillum seropedicae	964
268	Oceanospirillum linum	966
269	Selenomonas ruminantium	971
270	Cellulophaga lytica	979
271	Persicobacter diffluens	981
272	Flavobacterium flevense	983
273	Pedobacter heparinus	984
274	Flavobacterium johnsoniae	986
275	Leeuwenhoekiella marinoflava	988
276	Marinilabilia salmonicolor	989
277	Cytophaga xylanolytica	990
278	Flavobacterium hydatis	991
279	Flavobacterium columnare	996
280	Thermoflexibacter ruber	1003
281	Chitinophaga sancti	1004
282	Marivirga tractuosa	1006
283	Saprospira grandis	1008
284	Weeksella virosa	1014
285	Bergeyella zoohelcum	1015
286	Capnocytophaga gingivalis	1017
287	Capnocytophaga ochracea	1018
288	Marivirga sericea	1028
289	Marichromatium gracile	1048
290	Allochromatium vinosum	1049
291	Halorhodospira halochloris	1052
292	Halorhodospira halophila	1053
293	Ectothiorhodospira shaposhnikovii	1054
294	Thiococcus pfennigii	1057
295	Rhodobacter capsulatus	1061
296	Rhodobacter sphaeroides	1063
297	Rhodocyclus tenuis	1066
298	Rhodomicrobium vannielii	1069
299	Rhodopila globiformis	1071
300	Rhodoblastus acidophilus	1074
301	Rhodobacter blasticus	1075
302	Rhodopseudomonas palustris	1076
303	Blastochloris viridis	1079
304	Rhodospirillum rubrum	1085
305	Rhodothalassium salexigens	1086
306	Rhodovibrio salinarum	1087
307	Rhodovibrio sodomensis	1088
308	Chlorobium limicola	1092
309	Chlorobium phaeovibrioides	1094
310	Pelodictyon luteolum	1100
311	Chloroflexus aurantiacus	1108
312	Porphyrobacter neustonensis	1112
313	Microcystis aeruginosa	1126
314	Synechocystis sp. PCC 6714	1147
315	Synechocystis sp. PCC 6803	1148
316	Planktothrix agardhii	1160
317	Prochlorococcus marinus	1219
318	Prochlorothrix hollandica	1223
319	Nitrosococcus oceani	1229
320	Nitrosospira multiformis	1231
321	Piscirickettsia salmonis	1238
322	Leuconostoc gelidum	1244
323	Leuconostoc mesenteroides	1245
324	Leuconostoc lactis	1246
325	Oenococcus oeni	1247
326	Weissella paramesenteroides	1249
327	Leuconostoc fallax	1251
328	Pediococcus acidilactici	1254
329	Pediococcus pentosaceus	1255
330	Peptoniphilus asaccharolyticus	1258
331	Finegoldia magna	1260
332	Ruminococcus albus	1264
333	Ruminococcus flavefaciens	1265
334	Clostridium ventriculi	1267
335	Micrococcus luteus	1270
336	Kocuria varians	1272
337	Micrococcus lylae	1273
338	Kytococcus sedentarius	1276
339	Staphylococcus aureus	1280
340	Staphylococcus epidermidis	1282
341	Staphylococcus intermedius	1285
342	Staphylococcus sciuri	1296
343	Deinococcus radiodurans	1299
344	Streptococcus gordonii	1302
345	Streptococcus oralis	1303
346	Streptococcus salivarius	1304
347	Streptococcus suis	1307
348	Streptococcus thermophilus	1308
349	Streptococcus mutans	1309
350	Streptococcus sobrinus	1310
351	Streptococcus agalactiae	1311
352	Streptococcus pneumoniae	1313
353	Streptococcus pyogenes	1314
354	Streptococcus parasanguinis	1318
355	Faecalicoccus pleomorphus	1323
356	Streptococcus acidominimus	1326
357	Streptococcus anginosus	1328
358	Streptococcus criceti	1333
359	Streptococcus dysgalactiae	1334
360	Streptococcus equinus	1335
361	Streptococcus equi	1336
362	Streptococcus intermedius	1338
363	Streptococcus vestibularis	1343
364	Streptococcus ferus	1345
365	Enterococcus faecium	1352
366	Enterococcus hirae	1354
367	Lactococcus lactis	1358
368	Lactococcus garvieae	1363
369	Lactococcus piscium	1364
370	Lactococcus plantarum	1365
371	Lactococcus raffinolactis	1366
372	Marinococcus halophilus	1371
373	Planococcus kocurii	1374
374	Aerococcus urinae	1376
375	Aerococcus viridans	1377
376	Gemella haemolysans	1379
377	Atopobium minutum	1381
378	Atopobium parvulum	1382
379	Atopobium rimae	1383
380	Aneurinibacillus aneurinilyticus	1391
381	Bacillus anthracis	1392
382	Brevibacillus brevis	1393
383	Bacillus cereus	1396
