class_id	label_name	tax_id
207	Haemophilus parainfluenzae	729
208	[Haemophilus] ducreyi	730
209	Histophilus somni	731
210	Aggregatibacter aphrophilus	732
211	Haemophilus haemoglobinophilus	733
212	Haemophilus parahaemolyticus	735
213	Haemophilus paraphrohaemolyticus	736
214	Aggregatibacter segnis	739
215	Pasteurella multocida	747
216	Gallibacterium anatis	750
217	Avibacterium avium	751
218	Pasteurella bettyae	752
219	Pasteurella dagmatis	754
220	Avibacterium gallinarum	755
221	Rodentibacter pneumotropicus	758
222	Pasteurella testudinis	761
223	Anaplasma marginale	770
224	Bartonella bacilliformis	774
225	Coxiella burnetii	777
226	Ehrlichia ruminantium	779
227	Rickettsia prowazekii	782
228	Rickettsia rickettsii	783
229	Orientia tsutsugamushi	784
230	Rickettsia typhi	785
231	Bartonella quintana	803
232	Bartonella elizabethae	807
233	Chlamydia trachomatis	813
234	Bacteroides fragilis	817
235	Bacteroides thetaiotaomicron	818
236	Bacteroides uniformis	820
237	Bacteroides vulgatus	821
238	Parabacteroides distasonis	823
239	Campylobacter gracilis	824
240	Sebaldella termitidis	826
241	Campylobacter ureolyticus	827
242	Butyrivibrio fibrisolvens	831
243	Fibrobacter succinogenes	833
244	Porphyromonas gingivalis	837
245	Prevotella ruminicola	839
246	Prevotella loescheii	840
247	Wolinella succinogenes	844
248	Oxalobacter formigenes	847
249	Fusobacterium gonidiaformans	849
250	Fusobacterium mortiferum	850
251	Fusobacterium nucleatum	851
252	Fusobacterium perfoetens	852
253	Fusobacterium varium	856
254	Fusobacterium necrophorum	859
255	Fusobacterium periodonticum	860
256	Fusobacterium ulcerans	861
257	Syntrophomonas wolfei	863
258	Ruminobacter amylophilus	867
259	Dichelobacter nodosus	870
260	Desulfovibrio africanus	873
261	Desulfovibrio desulfuricans	876
262	Desulfovibrio vulgaris	881
263	Desulfuromonas acetoxidans	891
264	Desulfococcus multivorans	897
265	Desulfovibrio piger	901
266	Acidaminococcus fermentans	905
267	Megasphaera elsdenii	907
268	Nitrobacter winogradskyi	913
269	Nitrosomonas europaea	915
270	Nitrosomonas eutropha	916
271	Acidithiobacillus ferrooxidans	920
272	Thiomonas intermedia	926
273	Halothiobacillus neapolitanus	927
274	Acidithiobacillus thiooxidans	930
275	Ehrlichia canis	944
276	Anaplasma phagocytophilum	948
277	Bdellovibrio bacteriovorus	959
278	Bacteriovorax stolpii	960
279	Herbaspirillum seropedicae	964
280	Oceanospirillum linum	966
